"airportName","state","aid","airportCode"
"SOUTHWEST GEORGIA REGIONAL ARPT","Georgia",383,"none"
"EASTERN WEST VIRGINIA REGIONAL ARPT","West Virginia",384,"none"
"BOEING FIELD K C INT","Washington",385,"none"
"SAIPAN INTL","Prince Edward Island",386,"none"
"WILLIAMSON COUNTY REGIONAL","Illinois",387,"none"
"CENTENNIAL ARPT","Colorado",388,"none"
"WALLA WALLA REGIONAL","Washington",389,"none"
"JIM HOGG COUNTY AROT","Texas",390,"none"
"HAWTHORNE MUNICIPAL ARPT","California",391,"none"
"PETALUMA MUNICIPAL ARPT","California",392,"none"
"SONOMA COUNTY ARPT","California",393,"none"
"LANAI ARPT","Hawaii",394,"none"
"TUCSON INTL","Arizona",395,"none"
"JOHNSON COUNTY EXECUTIVE ARPT","Kansas",396,"none"
"ROSWELL INTL AIR CENTER","New Mexico",397,"none"
"ALBERT J ELLIS","North Carolina",398,"none"
"NEW TOKYO INTL","N/A",399,"none"
"HECTOR INTERNATIONAL","North Dakota",400,"none"
"SCHENECTADY COUNTY","New York",401,"none"
"LONDON-LUTON ARPT","N/A",402,"none"
"PUNTA CANA INTL","N/A",403,"none"
"DILLANT-HOPKINS ARPT","New Hampshire",404,"none"
"SALISBURY-WICOMICO","Maryland",405,"none"
"CORPUS CHRISTI INTL ARPT","Texas",406,"none"
"MONROE REGIONAL ARPT","Louisiana",407,"none"
"BARNSTABLE MUNICIPAL","Massachusetts",408,"none"
"ROBERTSON FIELD","Connecticut",409,"none"
"MODESTO CITY-COUNTY","California",410,"none"
"YELLOWSTONE ARPT","Montana",411,"none"
"DEER PARK ARPT","Washington",412,"none"
"SANGSTER INTL","N/A",413,"none"
"ZELIENOPLE MUNICIPAL","Pennsylvania",414,"none"
"LORAIN COUNTY REGIONAL ARPT","Ohio",415,"none"
"CECIL ARPT","Florida",416,"none"
"BOLTON FIELD ARPT","Ohio",417,"none"
"ST LOUIS REGIONAL","Illinois",418,"none"
"EASTON/NEWMAN FIELD ARPT","Maryland",419,"none"
"CHERRY CAPITAL ARPT","Michigan",420,"none"
"ST. PAUL DOWNTOWN ARPT","Minnesota",421,"none"
"OSCEOLA MUNICIPAL ARPT","Arkansas",422,"none"
"YELLOWSTONE REGIONAL","Wyoming",423,"none"
"DURANGO-LA PLATA CO","Colorado",424,"none"
"SELAWICK ARPT","Alaska",425,"none"
"WALLOPS FLIGHT FACILITY","Virginia",426,"none"
"OHIO STATE UNIVERSITY","Ohio",427,"none"
"SHEBOYGAN COUNTY MEMORIAL ARPT","Wisconsin",428,"none"
"SITKA (SPB)","Alaska",429,"none"
"THIEF RIVER FALLS REGIONAL","Minnesota",430,"none"
"YAKUTAT ARPT","Alaska",431,"none"
"MANCHESTER ENGLAND","N/A",432,"none"
"MARSHALL ISLANDS INTL ARPT","Prince Edward Island",433,"none"
"SYRACUSE HANCOCK INTL","New York",434,"none"
"MERCEDITA ARPT","Puerto Rico",435,"none"
"ORMOND BEACH MUNICIPAL ARPT","Florida",436,"none"
"MONTROSE REGIONAL ARPT","Colorado",437,"none"
"HELENA REGIONAL","Montana",438,"none"
"MOBILE REGIONAL","Alabama",439,"none"
"PALM SPRINGS INTL","California",440,"none"
"DE KALB TAYLOR MUNICIPAL ARPT","Illinois",441,"none"
"EVANSTON-UINTA COUNTY BURNS FIELD","Wyoming",442,"none"
"JESSE VIERTEL MEMORIAL ARPT","Missouri",443,"none"
"MCCLELLAN-PALOMAR","California",444,"none"
"EL SALVADOR INTL","N/A",445,"none"
"MC CLELLAN AIRFIELD","California",446,"none"
"WAYNE COUNTY","Ohio",447,"none"
"CHINO AIRPORT","California",448,"none"
"MILANO MALPENSA","N/A",449,"none"
"MIDDLE GEORGIA REGIONAL","Georgia",450,"none"
"COMPTON/WOODLEY ARPT","California",451,"none"
"YOUNGSTOWN-WARREN RGNL ARPT","Ohio",452,"none"
"RANGE REGIONAL ARPT","Minnesota",453,"none"
"EL MONTE ARPT","California",454,"none"
"ALLENTOWN QUEEN CITY MUNICIPAL","Pennsylvania",455,"none"
"SUGAR LAND REGIONAL ARPT","Texas",456,"none"
"NORTHEASTERN REGIONAL","North Carolina",457,"none"
"LINDEN AIRPORT","New Jersey",458,"none"
"MADRID-BARAJAS","N/A",459,"none"
"ELMIRA/CORNING MUNICIPAL","New York",460,"none"
"MANHATTAN REGIONAL","Kansas",461,"none"
"SCOTT CITY MUNICIPAL ARPT","Kansas",462,"none"
"CHILLICOTHE MUNICIPAL ARPT","Missouri",463,"none"
"PLYMOUTH MUNICIPAL ARPT (MA)","Massachusetts",464,"none"
"BOISE AIR TERMINAL/GOWEN FIELD","Idaho",465,"none"
"ANOKA COUNTY-BLAINE","Minnesota",466,"none"
"HAGERSTOWN REGIONAL","Maryland",467,"none"
"USAF ACADEMY BULLSEYE AUX AIRSTRIP","Colorado",468,"none"
"GLASGOW INTL/WOKAL FIELD","Montana",469,"none"
"MONMOUTH EXECUTIVE ARPT","New Jersey",470,"none"
"QUEBEC/JEAN LESAGE INTL","Quebec",471,"none"
"ELK GROVE ARPT","California",472,"none"
"LAKE CHARLES REGIONAL","Louisiana",473,"none"
"WINDHAM ARPT","Connecticut",474,"none"
"HUNTINGBURG ARPT","Indiana",475,"none"
"DUTCHESS COUNTY ARPT","New York",476,"none"
"FERANDINA BEACH MUNICIPAL ARPT","Florida",477,"none"
"HOBBY FIELD ARPT","Oregon",478,"none"
"CAPE MAY COUNTY ARPT","New Jersey",479,"none"
"SALINA MUNICIPAL","Kansas",480,"none"
"BETHEL ARPT","Alaska",481,"none"
"GLADEWATER MUNICIPAL ARPT","Texas",482,"none"
"CALI/VALLE","N/A",483,"none"
"CANCUN INTL","N/A",484,"none"
"OCONEE COUNTY REGIONAL ARPT","South Carolina",485,"none"
"KETCHIKAN INTL ARPT","Alaska",486,"none"
"TWEED-NEW HAVEN ARPT","Connecticut",487,"none"
"GALLATIN FIELD ARPT","Montana",488,"none"
"PINAL AIRPARK","Arizona",489,"none"
"MARTHAS VINEYARD","Massachusetts",490,"none"
"BROOKINGS MUNICIPAL ARPT","South Dakota",491,"none"
"EAST HAMPTON ARPT","New York",492,"none"
"NATRONA COUNTY INTL","Wyoming",493,"none"
"FINDLAY ARPT","Ohio",494,"none"
"ROGERS MUNICIPAL ARPT-CARTER FIELD","Arkansas",495,"none"
"FULLERTON MUNICIPAL ARPT","California",496,"none"
"ST CLAIR COUNTY INTL ARPT","Michigan",497,"none"
"KINGS LAND O' LAKES ARPT","Wisconsin",498,"none"
"RAPID CITY REGIONAL","South Dakota",499,"none"
